Year,Land_Cover_Type,Value
2001,Barren or Sparsely Vegetated,0.0
2002,Barren or Sparsely Vegetated,6220.0
2003,Barren or Sparsely Vegetated,-87490.0
2004,Barren or Sparsely Vegetated,-85181.0
2005,Barren or Sparsely Vegetated,-30880.0
2006,Barren or Sparsely Vegetated,-41139.0
2007,Barren or Sparsely Vegetated,-4163.0
2008,Barren or Sparsely Vegetated,8602.0
2009,Barren or Sparsely Vegetated,-46392.0
2010,Barren or Sparsely Vegetated,-1380.0
2011,Barren or Sparsely Vegetated,-1134.0
2012,Barren or Sparsely Vegetated,-8486.0
2013,Barren or Sparsely Vegetated,6649.0
2014,Barren or Sparsely Vegetated,13013.0
2015,Barren or Sparsely Vegetated,9717.0
2016,Barren or Sparsely Vegetated,16748.0
2017,Barren or Sparsely Vegetated,4625.0
2018,Barren or Sparsely Vegetated,1296.0
2019,Barren or Sparsely Vegetated,3918.0
2020,Barren or Sparsely Vegetated,20727.0
2021,Barren or Sparsely Vegetated,50248.0
2022,Barren or Sparsely Vegetated,29218.0
2023,Barren or Sparsely Vegetated,10949.0
2001,Closed Shrublands,0.0
2002,Closed Shrublands,-167.0
2003,Closed Shrublands,-190.0
2004,Closed Shrublands,102.0
2005,Closed Shrublands,178.0
2006,Closed Shrublands,263.0
2007,Closed Shrublands,62.0
2008,Closed Shrublands,-145.0
2009,Closed Shrublands,-252.0
2010,Closed Shrublands,-104.0
2011,Closed Shrublands,-44.0
2012,Closed Shrublands,-52.0
2013,Closed Shrublands,20.0
2014,Closed Shrublands,43.0
2015,Closed Shrublands,-31.0
2016,Closed Shrublands,17.0
2017,Closed Shrublands,-86.0
2018,Closed Shrublands,-36.0
2019,Closed Shrublands,-46.0
2020,Closed Shrublands,1.0
2021,Closed Shrublands,-14.0
2022,Closed Shrublands,-11.0
2023,Closed Shrublands,19.0
2001,Cropland/Natural Vegetation Mosaic,0.0
2002,Cropland/Natural Vegetation Mosaic,-881.0
2003,Cropland/Natural Vegetation Mosaic,36.0
2004,Cropland/Natural Vegetation Mosaic,234.0
2005,Cropland/Natural Vegetation Mosaic,-152.0
2006,Cropland/Natural Vegetation Mosaic,-158.0
2007,Cropland/Natural Vegetation Mosaic,-9.0
2008,Cropland/Natural Vegetation Mosaic,-160.0
2009,Cropland/Natural Vegetation Mosaic,61.0
2010,Cropland/Natural Vegetation Mosaic,2.0
2011,Cropland/Natural Vegetation Mosaic,94.0
2012,Cropland/Natural Vegetation Mosaic,-29.0
2013,Cropland/Natural Vegetation Mosaic,179.0
2014,Cropland/Natural Vegetation Mosaic,41.0
2015,Cropland/Natural Vegetation Mosaic,65.0
2016,Cropland/Natural Vegetation Mosaic,23.0
2017,Cropland/Natural Vegetation Mosaic,-86.0
2018,Cropland/Natural Vegetation Mosaic,197.0
2019,Cropland/Natural Vegetation Mosaic,265.0
2020,Cropland/Natural Vegetation Mosaic,-69.0
2021,Cropland/Natural Vegetation Mosaic,-402.0
2022,Cropland/Natural Vegetation Mosaic,-96.0
2023,Cropland/Natural Vegetation Mosaic,85.0
2001,Croplands,0.0
2002,Croplands,-34445.0
2003,Croplands,70964.0
2004,Croplands,47172.0
2005,Croplands,-16148.0
2006,Croplands,-3817.0
2007,Croplands,9440.0
2008,Croplands,-6845.0
2009,Croplands,40401.0
2010,Croplands,-18752.0
2011,Croplands,-13721.0
2012,Croplands,8322.0
2013,Croplands,-3280.0
2014,Croplands,8906.0
2015,Croplands,-9538.0
2016,Croplands,-11505.0
2017,Croplands,-8398.0
2018,Croplands,5979.0
2019,Croplands,-652.0
2020,Croplands,-17613.0
2021,Croplands,-28871.0
2022,Croplands,-5336.0
2023,Croplands,-32922.0
2001,Deciduous Broadleaf Forest,0.0
2002,Deciduous Broadleaf Forest,-40.0
2003,Deciduous Broadleaf Forest,-7.0
2004,Deciduous Broadleaf Forest,53.0
2005,Deciduous Broadleaf Forest,-36.0
2006,Deciduous Broadleaf Forest,-13.0
2007,Deciduous Broadleaf Forest,148.0
2008,Deciduous Broadleaf Forest,-74.0
2009,Deciduous Broadleaf Forest,1.0
2010,Deciduous Broadleaf Forest,28.0
2011,Deciduous Broadleaf Forest,137.0
2012,Deciduous Broadleaf Forest,-34.0
2013,Deciduous Broadleaf Forest,-96.0
2014,Deciduous Broadleaf Forest,-12.0
2015,Deciduous Broadleaf Forest,-48.0
2016,Deciduous Broadleaf Forest,2.0
2017,Deciduous Broadleaf Forest,509.0
2018,Deciduous Broadleaf Forest,-170.0
2019,Deciduous Broadleaf Forest,-350.0
