Year,Barren or Sparsely Vegetated,Closed Shrublands,Cropland/Natural Vegetation Mosaic,Croplands,Deciduous Broadleaf Forest,Deciduous Needleleaf Forest,Evergreen Broadleaf Forest,Evergreen Needleleaf Forest,Grasslands,Mixed Forest,Open Shrublands,Permanent Wetlands,Savannas,Snow and Ice,Unclassified,Urban and Built-up,Woody Savannas
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,6220.0,-167.0,-881.0,-34445.0,-40.0,0.0,2134.0,3183.0,-1359.0,-564.0,30750.0,-3333.0,-2893.0,0.0,-25.0,5.0,1415.0
2003,-87490.0,-190.0,36.0,70964.0,-7.0,0.0,914.0,2104.0,13669.0,-55.0,-3973.0,-247.0,5183.0,0.0,432.0,7.0,-1347.0
2004,-85181.0,102.0,234.0,47172.0,53.0,0.0,2036.0,2608.0,28785.0,391.0,3664.0,184.0,5453.0,0.0,179.0,10.0,-5690.0
2005,-30880.0,178.0,-152.0,-16148.0,-36.0,0.0,-12.0,695.0,4290.0,-375.0,45651.0,67.0,-2420.0,0.0,45.0,10.0,-913.0
2006,-41139.0,263.0,-158.0,-3817.0,-13.0,0.0,160.0,1142.0,27583.0,-31.0,16823.0,185.0,-2762.0,0.0,46.0,5.0,1713.0
2007,-4163.0,62.0,-9.0,9440.0,148.0,0.0,421.0,1155.0,-12605.0,160.0,3339.0,299.0,1972.0,32.0,-70.0,7.0,-188.0
2008,8602.0,-145.0,-160.0,-6845.0,-74.0,0.0,127.0,373.0,6467.0,70.0,-5090.0,-40.0,-4278.0,56.0,-287.0,11.0,1213.0
2009,-46392.0,-252.0,61.0,40401.0,1.0,0.0,1735.0,955.0,42907.0,318.0,-45106.0,-45.0,3571.0,-86.0,988.0,13.0,931.0
2010,-1380.0,-104.0,2.0,-18752.0,28.0,0.0,2188.0,1200.0,-17636.0,457.0,35098.0,46.0,31.0,28.0,-552.0,5.0,-659.0
2011,-1134.0,-44.0,94.0,-13721.0,137.0,0.0,565.0,-368.0,-25295.0,239.0,35896.0,219.0,2194.0,-22.0,-296.0,15.0,1521.0
2012,-8486.0,-52.0,-29.0,8322.0,-34.0,0.0,-335.0,-1231.0,-7426.0,-165.0,11902.0,55.0,-3812.0,-8.0,33.0,27.0,1239.0
2013,6649.0,20.0,179.0,-3280.0,-96.0,0.0,420.0,497.0,-1650.0,105.0,-1815.0,58.0,-745.0,7.0,-163.0,13.0,-199.0
2014,13013.0,43.0,41.0,8906.0,-12.0,1.0,-988.0,11.0,-5040.0,-41.0,-14807.0,-134.0,-2904.0,-7.0,64.0,31.0,1823.0
2015,9717.0,-31.0,65.0,-9538.0,-48.0,-1.0,303.0,-783.0,-7025.0,-279.0,2724.0,-48.0,3859.0,105.0,-21.0,33.0,968.0
2016,16748.0,17.0,23.0,-11505.0,2.0,0.0,-791.0,-278.0,-13156.0,-106.0,8850.0,-137.0,864.0,-75.0,-198.0,11.0,-269.0
2017,4625.0,-86.0,-86.0,-8398.0,509.0,0.0,-2402.0,-1083.0,-15130.0,-103.0,20373.0,-166.0,1025.0,-29.0,103.0,21.0,827.0
2018,1296.0,-36.0,197.0,5979.0,-170.0,0.0,679.0,724.0,-8927.0,196.0,-1535.0,90.0,2096.0,43.0,128.0,26.0,-786.0
2019,3918.0,-46.0,265.0,-652.0,-350.0,0.0,2568.0,563.0,-2507.0,161.0,-5441.0,165.0,2386.0,58.0,52.0,33.0,-1173.0
2020,20727.0,1.0,-69.0,-17613.0,51.0,0.0,638.0,-678.0,-12211.0,147.0,9768.0,162.0,-1597.0,-75.0,-64.0,30.0,783.0
2021,50248.0,-14.0,-402.0,-28871.0,60.0,0.0,-1681.0,-941.0,-18821.0,-37.0,3926.0,-42.0,-3768.0,-22.0,-361.0,39.0,687.0
2022,29218.0,-11.0,-96.0,-5336.0,-90.0,0.0,-2046.0,-1863.0,-22779.0,-56.0,3082.0,-106.0,2120.0,-3.0,-83.0,53.0,-2004.0
2023,10949.0,19.0,85.0,-32922.0,7.0,4.0,-1292.0,188.0,170.0,-260.0,19625.0,123.0,2325.0,-2.0,-24.0,59.0,946.0
