ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,25965.566917755656,-3336.457125251523,54664.65847912701,Barren or Sparsely Vegetated
2025-01-01,43507.419495755996,13505.379225506129,74441.89819699441,Barren or Sparsely Vegetated
2026-01-01,41885.71369324971,12273.34064431254,70631.09083168776,Barren or Sparsely Vegetated
2027-01-01,40347.5395983177,10224.459848041573,69944.43480072271,Barren or Sparsely Vegetated
2028-01-01,38898.73001635154,10148.862924407855,72520.40936885856,Barren or Sparsely Vegetated
2029-01-01,56440.58259435721,27185.386867099645,85738.15698530017,Barren or Sparsely Vegetated
2030-01-01,54818.87679189901,24934.50238963085,81864.71286986468,Barren or Sparsely Vegetated
2031-01-01,53280.70269693423,23861.338363615694,82971.20947240532,Barren or Sparsely Vegetated
2032-01-01,51831.89311497301,22873.910966183383,82896.3361526836,Barren or Sparsely Vegetated
2033-01-01,69373.74569300498,39742.310243710686,99125.15728380457,Barren or Sparsely Vegetated
