ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,-13332.975118190792,-41713.498653016315,14736.959850042034,Croplands
2025-01-01,-26360.034247089432,-53337.68498099485,1535.5707756399072,Croplands
2026-01-01,-24083.412812892508,-52665.89795601951,2003.4857960580855,Croplands
2027-01-01,-21788.88824484427,-50538.02602440934,6477.5987926194775,Croplands
2028-01-01,-19481.141193722535,-48480.86485796746,7342.830127646688,Croplands
2029-01-01,-32508.200322626988,-60329.51112196404,-4770.867255799279,Croplands
2030-01-01,-30231.57888846768,-58777.193838640225,-3285.1921820513226,Croplands
2031-01-01,-27937.054320393217,-54991.6729247246,-1039.6972455988164,Croplands
2032-01-01,-25629.307269274675,-55303.92356015983,1177.615112762646,Croplands
2033-01-01,-38656.366398200014,-67798.24421817482,-12253.877280588958,Croplands
