ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,-544.8607497877315,-1899.26594945875,899.3418789750142,Evergreen Broadleaf Forest
2025-01-01,-1461.3861083313484,-2867.7786466734938,-65.89046068407768,Evergreen Broadleaf Forest
2026-01-01,-1281.2683531191096,-2675.704489468113,44.3070425490454,Evergreen Broadleaf Forest
2027-01-01,-1108.3621072689823,-2590.9434703225506,326.6803831925579,Evergreen Broadleaf Forest
2028-01-01,-942.9988283643963,-2354.5897192509547,476.10787810679903,Evergreen Broadleaf Forest
2029-01-01,-1859.5241869082843,-3311.4464522371118,-440.892451293176,Evergreen Broadleaf Forest
2030-01-01,-1679.4064316988247,-3064.732155840135,-209.34510779681617,Evergreen Broadleaf Forest
2031-01-01,-1506.5001858468054,-2934.33772643313,-131.03036273988133,Evergreen Broadleaf Forest
2032-01-01,-1341.1369069425634,-2633.9460098201357,-13.439912309250657,Evergreen Broadleaf Forest
2033-01-01,-2257.662265487923,-3585.0531102754244,-832.4909734973266,Evergreen Broadleaf Forest
