ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,-1023.752644341926,-2067.557014335448,124.51717030916714,Evergreen Needleleaf Forest
2025-01-01,-1393.0333000161604,-2490.690874990523,-242.40114794951418,Evergreen Needleleaf Forest
2026-01-01,-1417.2255166906607,-2577.008619739838,-419.7659193433209,Evergreen Needleleaf Forest
2027-01-01,-1460.6187864178414,-2487.775244018834,-272.72669132145353,Evergreen Needleleaf Forest
2028-01-01,-1523.311594839828,-2546.8595157719965,-340.96742537021333,Evergreen Needleleaf Forest
2029-01-01,-1892.59225051384,-2987.4898363742755,-803.8332873885382,Evergreen Needleleaf Forest
2030-01-01,-1916.7844671893763,-2994.9504017648005,-718.744963717878,Evergreen Needleleaf Forest
2031-01-01,-1960.1777369159586,-3073.7840209281217,-826.0334163570809,Evergreen Needleleaf Forest
2032-01-01,-2022.870545338234,-3110.3552125913648,-880.5909316526232,Evergreen Needleleaf Forest
2033-01-01,-2392.1512010127076,-3473.819992401344,-1351.268594671618,Evergreen Needleleaf Forest
