ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,-17516.480392503647,-35205.303432584515,1180.2143908518394,Grasslands
2025-01-01,-18332.913987574553,-37502.271055423975,112.62727832277085,Grasslands
2026-01-01,-19845.176535727674,-37606.72146477149,-1346.296815640783,Grasslands
2027-01-01,-21267.700404580493,-38966.35279941538,-2673.975990055736,Grasslands
2028-01-01,-22600.301057108627,-40852.467836262695,-5359.155598581355,Grasslands
2029-01-01,-23416.734652180952,-41524.933397395034,-5409.642302163984,Grasslands
2030-01-01,-24928.99720033145,-42995.23873326098,-6917.0956909325905,Grasslands
2031-01-01,-26351.52106918547,-44847.12276304732,-8611.330452327658,Grasslands
2032-01-01,-27684.12172171236,-45388.02410541576,-9037.024346559063,Grasslands
2033-01-01,-28500.555316783782,-45363.23589219212,-10533.637288405173,Grasslands
