ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,5350.116296889697,-17494.322323343597,28973.738385270753,Open Shrublands
2025-01-01,3510.206003224641,-20564.898292383336,26606.14356619878,Open Shrublands
2026-01-01,3868.6102462429335,-20585.27695226366,28065.138098074032,Open Shrublands
2027-01-01,4146.873018980879,-18940.10888153314,26631.813755606,Open Shrublands
2028-01-01,4344.353882714182,-19074.45340817121,24524.38452737298,Open Shrublands
2029-01-01,2504.4435890497643,-21068.60611397647,25757.428520961537,Open Shrublands
2030-01-01,2862.847832061867,-19450.714583320558,27162.505943172273,Open Shrublands
2031-01-01,3141.110604803629,-21226.957221101246,25789.191395021684,Open Shrublands
2032-01-01,3338.591468535549,-20214.0960779882,26292.95223157085,Open Shrublands
2033-01-01,1498.6811748682067,-23454.152721991748,25891.377954158677,Open Shrublands
