ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,370.1294089259645,-502.89975133402555,1173.827962359572,Permanent Wetlands
2025-01-01,196.81482144824486,-639.1474959968409,1105.0131558652654,Permanent Wetlands
2026-01-01,280.9915542724759,-611.6173872188175,1108.8181809373073,Permanent Wetlands
2027-01-01,380.1539055105652,-441.702387719689,1229.9024259207556,Permanent Wetlands
2028-01-01,494.2162346807868,-412.85897284872266,1429.34913496507,Permanent Wetlands
2029-01-01,320.9016472027174,-495.5148740727316,1211.1205109784285,Permanent Wetlands
2030-01-01,405.0783800264553,-429.8637194217414,1263.3433894636516,Permanent Wetlands
2031-01-01,504.2407312649625,-345.69110688159566,1342.8841445858613,Permanent Wetlands
2032-01-01,618.3030604353249,-222.84200562675915,1492.8846387866424,Permanent Wetlands
2033-01-01,444.98847295686255,-417.2992212819075,1270.7077975192046,Permanent Wetlands
