ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,963.1981840166079,-2767.7874600527925,4520.651556916032,Savannas
2025-01-01,-98.66970318126096,-3520.695819485778,3661.3528920505196,Savannas
2026-01-01,275.51231550694894,-3051.1999815106597,4171.374174186786,Savannas
2027-01-01,636.8374163126682,-3271.0709330041777,4007.2649793276883,Savannas
2028-01-01,984.8700522020447,-2586.6815130992786,4514.642252721419,Savannas
2029-01-01,-76.99783499608924,-3635.380582568859,3737.62915882608,Savannas
2030-01-01,297.18418368844345,-3277.5243277701716,4094.974272128619,Savannas
2031-01-01,658.5092844966157,-3016.511834044259,4277.184200131799,Savannas
2032-01-01,1006.5419203855379,-2440.01948257007,4667.509459746952,Savannas
2033-01-01,-55.32596681456454,-3714.738134703201,3352.846828122671,Savannas
