ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,-0.5905229655858335,-55.130665076514035,48.17653579151509,Snow and Ice
2025-01-01,-12.029528320186454,-65.77731174811207,38.478049356150436,Snow and Ice
2026-01-01,-8.342410133568066,-61.35356614317669,44.36686155562382,Snow and Ice
2027-01-01,-5.2010915711885986,-57.861995749470225,44.240221939854216,Snow and Ice
2028-01-01,-2.6100277057778456,-53.81040339147799,50.72282972417185,Snow and Ice
2029-01-01,-14.049033060373851,-64.6698627610745,39.94336201165317,Snow and Ice
2030-01-01,-10.361914873798177,-63.57686875074683,43.93811923024306,Snow and Ice
2031-01-01,-7.220596311392832,-64.16539367362083,42.68370697517351,Snow and Ice
2032-01-01,-4.6295324459914085,-56.92732079094623,48.98572524297321,Snow and Ice
2033-01-01,-16.06853780060791,-67.76828008667937,35.537716092395755,Snow and Ice
