ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,-173.75406186397228,-547.3589448645477,174.24703453404396,Unclassified
2025-01-01,-67.46031847020672,-443.17282223980436,274.9570601097183,Unclassified
2026-01-01,-116.16395760641967,-482.6349516318501,236.95444308024267,Unclassified
2027-01-01,-163.9177173878118,-519.7670786131688,181.87776898620288,Unclassified
2028-01-01,-210.67504488072944,-548.0391345388247,141.58694707204052,Unclassified
2029-01-01,-104.38130148692228,-442.91882595951216,244.1190751228159,Unclassified
2030-01-01,-153.08494062274232,-528.0412952706422,199.0797044777761,Unclassified
2031-01-01,-200.8387004044053,-576.387413927302,176.22617904225316,Unclassified
2032-01-01,-247.5960278972673,-589.0225886764424,130.25114322355634,Unclassified
2033-01-01,-141.30228450325916,-474.29625393100844,213.02736020966393,Unclassified
