ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,59.646978083371835,-2126.477967404965,2056.8776544798625,Woody Savannas
2025-01-01,833.081945999809,-1268.1986208545864,2743.2396587766552,Woody Savannas
2026-01-01,629.4994716615953,-1412.545605922122,2606.6788091545122,Woody Savannas
2027-01-01,417.485654289028,-1634.6114665804264,2297.3140003232024,Woody Savannas
2028-01-01,197.3400946732143,-1749.7499966301637,2260.6592008514835,Woody Savannas
2029-01-01,970.7750625901676,-1113.4036385380734,2829.462863035605,Woody Savannas
2030-01-01,767.1925882542863,-1087.4779836530856,2785.936863342358,Woody Savannas
2031-01-01,555.1787708800273,-1523.206442849639,2438.3366959885293,Woody Savannas
2032-01-01,335.0332112643721,-1799.4944962270038,2275.6587289779413,Woody Savannas
2033-01-01,1108.4681791826256,-818.3438864615784,3015.7425478465707,Woody Savannas
